,MP49,MP51,MP52,MP55,MP58,,Blocks,Fortia,,Cycles,From,,,,,To,,,,,Mean,,,,,Semi amplitude,,,,
STEP 1,65.6558609,81.17532349,77.40382385,79.18393707,73.39715576,,,From,To,,MP49,MP51,MP52,MP55,MP58,MP49,MP51,MP52,MP55,MP58,MP49,MP51,MP52,MP55,MP58,MP49,MP51,MP52,MP55,MP58
STEP 2,156.2118835,192.7024078,182.5013123,188.0597229,174.1590118,,Block 1,28,19,3,-0.1227535456,-0.1864976734,-0.1496502608,-0.1597714424,-0.1513000876,1067.126343,1299.710938,1354.044189,1326.248291,1200.82666,284.7182355,347.172007,328.0798727,339.6668574,324.9860872,284.8625751,347.3905541,328.2369608,339.8335088,325.1908537
STEP 3,221.3043518,272.1126099,256.5361938,264.7515869,246.1040649,,Block 2,27,18,30,-0.02985183895,-0.05533115938,-0.04909941554,-0.05607802048,-0.03366741538,1063.812744,1295.418701,1348.329834,1321.939941,1197.337036,460.665384,569.7628026,593.9897212,582.0780094,527.2326724,460.7030242,569.8307033,594.0415288,582.1367123,527.285394
STEP 4,256.2213135,314.5120239,295.9918213,305.6123657,284.6290894,,Block 3,1,17,100,65.6558609,81.17532349,77.40382385,79.18393707,73.39715576,1035.533447,1259.685181,1301.76001,1285.82312,1167.939331,526.201416,652.2393036,671.3874207,662.5415573,601.9464645,392.2971191,483.600296,511.6279602,497.8849564,449.4986038
STEP 5,353.9941406,432.7088013,406.4041138,419.7945251,392.6846313,,Block 4,2,16,267,156.2118835,192.7024078,182.5013123,188.0597229,174.1590118,1007.11792,1223.950439,1255.894897,1249.689453,1138.045288,541.8843842,671.3894882,683.3724594,680.2625656,620.5236282,352.0869293,433.182045,458.7581558,448.4095535,405.0455856
STEP 6,425.933075,519.3025513,488.2302551,504.208313,472.6263428,,Block 5,3,15,300,221.3043518,272.1126099,256.5361938,264.7515869,246.1040649,982.2995605,1192.839355,1216.291016,1216.372559,1110.60022,544.5556183,674.3202209,680.5236816,682.2815857,624.2378082,324.7502899,398.9527283,421.3354492,414.615387,374.9958954
STEP 7,462.8356934,563.7327881,530.9108887,548.0994873,514.0072021,,Block 6,4,14,300,256.2213135,314.5120239,295.9918213,305.6123657,284.6290894,963.8442383,1172.405518,1193.060547,1196.653809,1089.979614,575.8392487,712.5131836,711.5289917,717.6926422,659.5252228,271.9155121,333.506958,355.5505981,349.9074554,315.5367279
STEP 8,513.0560303,623.9500122,589.2336426,607.9857178,570.3856812,,Block 7,9,23,5,644.267395,781.5507813,747.5222778,769.3950806,720.12146,703.319458,648.09729,328.5260925,1780.060059,1528.051392,645.9511108,724.8115845,612.6634369,1129.463898,1012.996338,14.94433594,90.04510498,180.9860992,315.0157166,255.4763184
STEP 9,644.267395,781.5507813,747.5222778,769.3950806,720.12146,,Block 8,9,22,9,644.267395,781.5507813,747.5222778,769.3950806,720.12146,700.6716309,654.8004761,353.6585083,1737.328735,1497.527344,642.5636292,697.9112854,544.3409576,1188.634003,1049.883789,18.33181763,116.9454041,249.3085785,374.1858215,292.3637695
STEP 10,767.0638428,929.2963867,905.0140381,928.4489746,863.4448853,,Block 9,9,21,27,644.267395,781.5507813,747.5222778,769.3950806,720.12146,695.6834106,668.8491211,403.6948853,1650.732666,1434.748779,640.9765625,700.5248718,555.1810303,1169.847931,1036.436707,19.91888428,114.3318176,238.4685059,355.3997498,278.916687
STEP 11,799.9954834,969.0489502,949.2686768,972.8023682,902.4973755,,Block 10,9,20,75,644.267395,781.5507813,747.5222778,769.3950806,720.12146,690.239624,683.8381348,455.3007202,1555.418457,1364.113281,637.9220886,706.02948,576.758728,1131.778412,1008.784241,22.97335815,108.8272095,216.8908081,317.3302307,251.2642212
STEP 12,822.9141846,996.8303833,980.7779541,1004.278748,929.8789673,,Block 11,9,26,5,644.267395,781.5507813,747.5222778,769.3950806,720.12146,706.3338013,963.7105713,993.3031616,215.7967682,213.6540985,629.2132263,826.8395386,830.5808105,501.833252,472.3220673,31.68222046,11.98284912,36.93127441,312.6149292,285.1979523
STEP 13,863.4159546,1046.100586,1037.805664,1061.041992,978.6102295,,Block 12,9,25,15,644.267395,781.5507813,747.5222778,769.3950806,720.12146,679.3984985,902.0375366,923.409668,371.2954407,363.1418762,619.0848083,800.5895081,800.3907471,569.9545746,537.8038483,41.81063843,14.2671814,6.741210938,244.4936066,219.7161713
STEP 14,963.8442383,1172.405518,1193.060547,1196.653809,1089.979614,,Block 13,5,13,2,353.9941406,432.7088013,406.4041138,419.7945251,392.6846313,863.4159546,1046.100586,1037.805664,1061.041992,978.6102295,598.7576294,741.5216675,737.2109375,746.0509949,685.5273132,232.8505859,286.5448608,309.4660645,304.2085266,271.3992615
STEP 15,982.2995605,1192.839355,1216.291016,1216.372559,1110.60022,,Block 14,6,12,4,425.933075,519.3025513,488.2302551,504.208313,472.6263428,822.9141846,996.8303833,980.7779541,1004.278748,929.8789673,571.1292725,705.6641846,687.7477112,705.6830444,654.6507568,173.404541,211.7075195,222.5593567,225.3244019,204.2034912
STEP 16,1007.11792,1223.950439,1255.894897,1249.689453,1138.045288,,Block 15,7,11,20,462.8356934,563.7327881,530.9108887,548.0994873,514.0072021,799.9954834,969.0489502,949.2686768,972.8023682,902.4973755,575.218399,710.4707336,688.286499,707.0154724,657.9579926,134.146286,163.6637878,171.9194946,174.0890808,158.0110016
STEP 17,1035.533447,1259.685181,1301.76001,1285.82312,1167.939331,,Block 16,8,10,108,513.0560303,623.9500122,589.2336426,607.9857178,570.3856812,767.0638428,929.2963867,905.0140381,928.4489746,863.4448853,621.9862671,767.4528809,743.9267273,764.0588379,711.6889954,67.4855957,82.29907227,88.59866333,89.37591553,80.18771362
STEP 18,1063.812744,1295.418701,1348.329834,1321.939941,1197.337036,,Block 17,9,24,1,644.267395,781.5507813,747.5222778,769.3950806,720.12146,715.5852051,712.6448975,485.8970947,1645.587646,1444.550537,645.9511108,724.8115845,612.6634369,1129.463898,1012.996338,14.94433594,90.04510498,180.9860992,315.0157166,255.4763184
STEP 19,1067.126343,1299.710938,1354.044189,1326.248291,1200.82666,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 20,690.239624,683.8381348,455.3007202,1555.418457,1364.113281,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 21,695.6834106,668.8491211,403.6948853,1650.732666,1434.748779,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 22,700.6716309,654.8004761,353.6585083,1737.328735,1497.527344,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 23,703.319458,648.09729,328.5260925,1780.060059,1528.051392,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 24,715.5852051,712.6448975,485.8970947,1645.587646,1444.550537,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 25,679.3984985,902.0375366,923.409668,371.2954407,363.1418762,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 26,706.3338013,963.7105713,993.3031616,215.7967682,213.6540985,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 27,-0.02985183895,-0.05533115938,-0.04909941554,-0.05607802048,-0.03366741538,,,,,,,,,,,,,,,,,,,,,,,,,
STEP 28,-0.1227535456,-0.1864976734,-0.1496502608,-0.1597714424,-0.1513000876,,,,,,,,,,,,,,,,,,,,,,,,,